"wavelength","Coeffs_LMA_Rosa_rugosa_PLSR_Ncomp_6","Coeffs_LMA_Rubus_caesius_PLSR_Ncomp_8","Coeffs_LMA_Jacobea_vulgaris_PLSR_Ncomp_13","Coeffs_LMA_Hieracium_umbellatum_PLSR_Ncomp_13","Coeffs_LDMC_Rosa_rugosa_PLSR_Ncomp_8","Coeffs_LDMC_Rubus_caesius_PLSR_Ncomp_11","Coeffs_LDMC_Jacobea_vulgaris_PLSR_Ncomp_15","Coeffs_LDMC_Hieracium_umbellatum_PLSR_Ncomp_19","Coeffs_EWT_Rosa_rugosa_PLSR_Ncomp_5","Coeffs_EWT_Rubus_caesius_PLSR_Ncomp_15","Coeffs_EWT_Jacobea_vulgaris_PLSR_Ncomp_5","Coeffs_EWT_Hieracium_umbellatum_PLSR_Ncomp_4"
"1902",0.172308537098542,0.284625980670458,0.264202836702962,-0.186882027595351,0.00179135649388309,-0.00843486269756574,0.0368739374392047,-0.0292612405021092,-0.00623743596586077,-0.622198429864651,0.0513898842739888,0.266262254654057
"1903",0.163109856914283,0.280853329772667,0.264908110002549,-0.18440967192664,0.00130576392844359,-0.0116723825833255,0.035991439482543,-0.0309428522885333,0.0126390767510988,-0.304073240056045,0.0528982247361098,0.267555342930654
"1904",0.15500731582209,0.278018168841483,0.282816030804925,-0.178455242583154,0.000857944059952969,-0.0145321291554521,0.0356952455213386,-0.0331673473593843,0.0303117186816914,0.00858785713852139,0.0540818886327366,0.26888945593213
"1905",0.147983174636786,0.275749368030184,0.316987681841036,-0.172024783610012,0.000457262755253597,-0.0170523669027807,0.035823008592562,-0.035505164584142,0.0465788475728129,0.305837572405958,0.0551821143523343,0.270204618347197
"1906",0.141958730099091,0.273385241642882,0.366291861697187,-0.167726355013335,0.000115665902976831,-0.0193230297038493,0.0362032294276457,-0.0373266359141254,0.0611597926410135,0.580133135421875,0.0564052225052755,0.27138134339365
"1907",0.136920197192893,0.270485700952172,0.428884774944263,-0.166162370571151,-0.000166082767305011,-0.0213990938946048,0.0367328078977442,-0.0387356410567855,0.0740951487526797,0.824402159200443,0.0580050493174311,0.272521512348284
"1908",0.132633594175783,0.267966852980165,0.49523756502096,-0.169857777543728,-0.000396000405769814,-0.0231530064135495,0.0374629530185168,-0.0397435195388271,0.0854616584792581,1.03211313286229,0.0595861572461134,0.273475133773855
"1909",0.128894522873118,0.266292717099024,0.557931339746645,-0.179492275883374,-0.000584964455495087,-0.0245479337975947,0.0384312151591971,-0.0403880660347187,0.0954414944243692,1.20247459028684,0.0609037462615224,0.27420280215022
"1910",0.125550691652681,0.265360247024951,0.611998520704381,-0.193712226757335,-0.000746295453115967,-0.0256523176259246,0.0396677410104709,-0.04077088596878,0.104324037269983,1.33659932508125,0.0618722470087351,0.274790222122458
"1911",0.123004865185307,0.263945119543797,0.65775408783068,-0.206888155652514,-0.000878054620765637,-0.0266876160968579,0.0411993772275981,-0.0415832343824957,0.112376723663121,1.46892146698748,0.0623645454823442,0.275313355707514
"1912",0.121309754147333,0.261795975247129,0.693815165502996,-0.217320769541571,-0.000983486864883094,-0.0277356268793617,0.0429056236456556,-0.0426807320558743,0.119860157384184,1.60713846532027,0.0624576903274293,0.275819909766398
"1913",0.120447545740508,0.258993943100824,0.719167389754588,-0.224079788739339,-0.00106544565732392,-0.0288275311653691,0.0445823280099967,-0.043779277549082,0.126975868289772,1.75400689706297,0.0623288273684946,0.27636109944735
"1914",0.120580856714589,0.257078352829583,0.73356467656428,-0.222703681300697,-0.00109809828219937,-0.0298438881420161,0.0453579367783374,-0.0446929931736351,0.133262932118266,1.91900687536857,0.0625444327497979,0.276990026949667
"1915",0.121477537544614,0.256141025567628,0.73594671313849,-0.213285133006333,-0.00109151398077287,-0.0308119968055367,0.0451381881194825,-0.0454828251481461,0.138761515523884,2.11058341527592,0.0632415018900386,0.277791583804332
"1916",0.122961579759508,0.256235689902952,0.726051442074029,-0.199491350217772,-0.00105132477268151,-0.0316905305757424,0.0440351517972394,-0.0460898262398554,0.143501134920672,2.32253382222422,0.0643575284345904,0.278770458800805
"1917",0.125003138649809,0.257363929187801,0.705679095872883,-0.190325612142331,-0.000973633048375699,-0.0323253702658532,0.0425180171934069,-0.0463649287806504,0.147473055000798,2.52182409213989,0.0655179814674402,0.279799629762018
"1918",0.127549557742118,0.259577269266985,0.67737475986555,-0.186677362053901,-0.000859394050063892,-0.032706089562378,0.0406610642113526,-0.0466662262773355,0.150777914191041,2.70264334758552,0.0668102095433789,0.280902323300848
"1919",0.130566919559694,0.262731412867047,0.641531320385804,-0.18899022909919,-0.000721382637063957,-0.0328473594041674,0.0383768153481146,-0.0473388191544665,0.153613312831098,2.86891437864861,0.0683243654116061,0.281961424898344
"1920",0.133985725430686,0.266480589027755,0.598416356663079,-0.195798304237051,-0.000575290960298302,-0.0327900044761608,0.0356313201465301,-0.0483271065048078,0.156144934284744,3.024438340074,0.0700456902136636,0.282802869006526
"1921",0.137661931677598,0.270486204410859,0.550069112784065,-0.204206324827131,-0.000428603916320444,-0.0325771678065484,0.0326255520177255,-0.0492157190741444,0.158439882220962,3.16325238649568,0.0718158211939759,0.283342602599218
"1922",0.141357180391701,0.273964341936842,0.500175204510822,-0.201043392170475,-0.000283054709027168,-0.0323351770829375,0.0296929700636012,-0.0488159723252273,0.160318973436951,3.28702589200759,0.0736228384937633,0.283775354864532
"1923",0.144893151390873,0.276426866700481,0.448673882696307,-0.184715167012307,-0.000148607380690611,-0.0321285822393882,0.026891620489501,-0.0467890722513487,0.161853021900437,3.39435243821139,0.075495265225306,0.28416991791066
"1924",0.148113898218657,0.277593874815125,0.393510218289163,-0.160298581873046,-4.02121207654914e-05,-0.0319808805820417,0.0241305300712266,-0.0432801904856669,0.163270982064688,3.48074989775626,0.0774561046561501,0.284490664219337
"1925",0.15097323854512,0.277585694018924,0.341593091970773,-0.137418798582807,4.10127851241001e-05,-0.0320234388148308,0.0218452639847062,-0.0395571713370755,0.164343896502876,3.55386988643642,0.0791839682197842,0.284794836894344
"1926",0.153589010397792,0.276613146679203,0.300760128011907,-0.112928268706747,0.000100283721037095,-0.0322510674762689,0.0202695874970022,-0.0358185111748542,0.165139827542614,3.61784115877992,0.0807470526907634,0.285260716611991
"1927",0.156105795807354,0.274872068084596,0.276623073228448,-0.0872257121951447,0.000142485884489089,-0.0326080108978679,0.0195141878278689,-0.0322879032809744,0.165765408624927,3.66789450379749,0.0822780473992925,0.28597667316688
